sp_id,name,x_rd,y_rd,capacity
new_potential_sp_0157,Sparse Area Point 0157,48008.47368421053,51502.368421052626,100
new_potential_sp_0158,Sparse Area Point 0158,48008.47368421053,55367.31578947368,100
new_potential_sp_0159,Sparse Area Point 0159,48008.47368421053,59232.26315789473,100
new_potential_sp_0160,Sparse Area Point 0160,48008.47368421053,63097.21052631579,100
new_potential_sp_0161,Sparse Area Point 0161,48008.47368421053,66962.15789473684,100
new_potential_sp_0162,Sparse Area Point 0162,48008.47368421053,70827.1052631579,100
new_potential_sp_0163,Sparse Area Point 0163,48008.47368421053,74692.05263157895,100
new_potential_sp_0164,Sparse Area Point 0164,48008.47368421053,78557.0,100
new_potential_sp_0165,Sparse Area Point 0165,54508.05263157895,5123.0,100
new_potential_sp_0166,Sparse Area Point 0166,54508.05263157895,8987.947368421053,100
new_potential_sp_0167,Sparse Area Point 0167,54508.05263157895,12852.894736842105,100
new_potential_sp_0168,Sparse Area Point 0168,54508.05263157895,16717.842105263157,100
new_potential_sp_0169,Sparse Area Point 0169,54508.05263157895,20582.78947368421,100
new_potential_sp_0170,Sparse Area Point 0170,54508.05263157895,24447.736842105263,100
new_potential_sp_0171,Sparse Area Point 0171,54508.05263157895,28312.684210526313,100
new_potential_sp_0172,Sparse Area Point 0172,54508.05263157895,32177.631578947367,100
new_potential_sp_0173,Sparse Area Point 0173,54508.05263157895,36042.57894736842,100
new_potential_sp_0174,Sparse Area Point 0174,54508.05263157895,43772.47368421053,100
new_potential_sp_0175,Sparse Area Point 0175,54508.05263157895,47637.42105263158,100
new_potential_sp_0176,Sparse Area Point 0176,54508.05263157895,51502.368421052626,100
new_potential_sp_0177,Sparse Area Point 0177,54508.05263157895,55367.31578947368,100
new_potential_sp_0178,Sparse Area Point 0178,54508.05263157895,63097.21052631579,100
new_potential_sp_0179,Sparse Area Point 0179,54508.05263157895,66962.15789473684,100
new_potential_sp_0180,Sparse Area Point 0180,54508.05263157895,70827.1052631579,100
new_potential_sp_0181,Sparse Area Point 0181,54508.05263157895,74692.05263157895,100
new_potential_sp_0182,Sparse Area Point 0182,54508.05263157895,78557.0,100
new_potential_sp_0183,Sparse Area Point 0183,61007.63157894737,5123.0,100
new_potential_sp_0184,Sparse Area Point 0184,61007.63157894737,8987.947368421053,100
new_potential_sp_0185,Sparse Area Point 0185,61007.63157894737,12852.894736842105,100
new_potential_sp_0186,Sparse Area Point 0186,61007.63157894737,16717.842105263157,100
new_potential_sp_0187,Sparse Area Point 0187,61007.63157894737,20582.78947368421,100
new_potential_sp_0188,Sparse Area Point 0188,61007.63157894737,24447.736842105263,100
new_potential_sp_0189,Sparse Area Point 0189,61007.63157894737,28312.684210526313,100
new_potential_sp_0190,Sparse Area Point 0190,61007.63157894737,32177.631578947367,100
new_potential_sp_0191,Sparse Area Point 0191,61007.63157894737,36042.57894736842,100
new_potential_sp_0192,Sparse Area Point 0192,61007.63157894737,39907.52631578947,100
new_potential_sp_0193,Sparse Area Point 0193,61007.63157894737,43772.47368421053,100
new_potential_sp_0194,Sparse Area Point 0194,61007.63157894737,47637.42105263158,100
new_potential_sp_0195,Sparse Area Point 0195,61007.63157894737,51502.368421052626,100
new_potential_sp_0196,Sparse Area Point 0196,61007.63157894737,55367.31578947368,100
new_potential_sp_0197,Sparse Area Point 0197,61007.63157894737,59232.26315789473,100
new_potential_sp_0198,Sparse Area Point 0198,61007.63157894737,63097.21052631579,100
new_potential_sp_0199,Sparse Area Point 0199,61007.63157894737,66962.15789473684,100
new_potential_sp_0200,Sparse Area Point 0200,61007.63157894737,70827.1052631579,100
new_potential_sp_0201,Sparse Area Point 0201,61007.63157894737,74692.05263157895,100
new_potential_sp_0202,Sparse Area Point 0202,61007.63157894737,78557.0,100
new_potential_sp_0203,Sparse Area Point 0203,67507.21052631579,5123.0,100
new_potential_sp_0204,Sparse Area Point 0204,67507.21052631579,8987.947368421053,100
new_potential_sp_0205,Sparse Area Point 0205,67507.21052631579,12852.894736842105,100
new_potential_sp_0206,Sparse Area Point 0206,67507.21052631579,16717.842105263157,100
new_potential_sp_0207,Sparse Area Point 0207,67507.21052631579,20582.78947368421,100
new_potential_sp_0208,Sparse Area Point 0208,67507.21052631579,24447.736842105263,100
new_potential_sp_0209,Sparse Area Point 0209,67507.21052631579,28312.684210526313,100
new_potential_sp_0210,Sparse Area Point 0210,67507.21052631579,32177.631578947367,100
new_potential_sp_0211,Sparse Area Point 0211,67507.21052631579,36042.57894736842,100
new_potential_sp_0212,Sparse Area Point 0212,67507.21052631579,39907.52631578947,100
new_potential_sp_0213,Sparse Area Point 0213,67507.21052631579,51502.368421052626,100
new_potential_sp_0214,Sparse Area Point 0214,67507.21052631579,55367.31578947368,100
new_potential_sp_0215,Sparse Area Point 0215,67507.21052631579,59232.26315789473,100
new_potential_sp_0216,Sparse Area Point 0216,67507.21052631579,63097.21052631579,100
new_potential_sp_0217,Sparse Area Point 0217,67507.21052631579,66962.15789473684,100
new_potential_sp_0218,Sparse Area Point 0218,67507.21052631579,70827.1052631579,100
new_potential_sp_0219,Sparse Area Point 0219,67507.21052631579,74692.05263157895,100
new_potential_sp_0220,Sparse Area Point 0220,67507.21052631579,78557.0,100
new_potential_sp_0221,Sparse Area Point 0221,74006.78947368421,5123.0,100
new_potential_sp_0222,Sparse Area Point 0222,74006.78947368421,8987.947368421053,100
new_potential_sp_0223,Sparse Area Point 0223,74006.78947368421,12852.894736842105,100
new_potential_sp_0224,Sparse Area Point 0224,74006.78947368421,16717.842105263157,100
new_potential_sp_0225,Sparse Area Point 0225,74006.78947368421,20582.78947368421,100
new_potential_sp_0226,Sparse Area Point 0226,74006.78947368421,24447.736842105263,100
new_potential_sp_0227,Sparse Area Point 0227,74006.78947368421,32177.631578947367,100
new_potential_sp_0228,Sparse Area Point 0228,74006.78947368421,36042.57894736842,100
new_potential_sp_0229,Sparse Area Point 0229,74006.78947368421,39907.52631578947,100
new_potential_sp_0230,Sparse Area Point 0230,74006.78947368421,43772.47368421053,100
new_potential_sp_0231,Sparse Area Point 0231,74006.78947368421,47637.42105263158,100
new_potential_sp_0232,Sparse Area Point 0232,74006.78947368421,51502.368421052626,100
new_potential_sp_0233,Sparse Area Point 0233,74006.78947368421,55367.31578947368,100
new_potential_sp_0234,Sparse Area Point 0234,74006.78947368421,59232.26315789473,100
new_potential_sp_0235,Sparse Area Point 0235,74006.78947368421,63097.21052631579,100
new_potential_sp_0236,Sparse Area Point 0236,74006.78947368421,66962.15789473684,100
new_potential_sp_0237,Sparse Area Point 0237,74006.78947368421,70827.1052631579,100
new_potential_sp_0238,Sparse Area Point 0238,74006.78947368421,74692.05263157895,100
