LocationID,day,pred_pickup,pred_home,distance
4440,318,96,41,445.39256488923877
4440,319,28,15,445.39256488923877
4440,320,33,20,445.39256488923877
4440,321,35,15,445.39256488923877
4440,322,91,45,445.39256488923877
4440,324,81,31,445.39256488923877
4440,325,46,25,445.39256488923877
4440,326,45,15,445.39256488923877
4440,327,54,23,445.39256488923877
4440,328,36,17,445.39256488923877
4440,329,55,28,445.39256488923877
4440,331,54,18,445.39256488923877
4440,332,85,29,445.39256488923877
4440,333,46,16,445.39256488923877
4440,334,79,40,445.39256488923877
4440,335,39,17,445.39256488923877
4440,336,83,32,445.39256488923877
4440,338,107,42,445.39256488923877
4440,339,112,45,445.39256488923877
4440,340,68,38,445.39256488923877
4440,341,38,16,445.39256488923877
4440,342,77,29,445.39256488923877
4440,343,63,35,445.39256488923877
4440,345,35,20,445.39256488923877
4440,346,89,33,445.39256488923877
4440,347,116,44,445.39256488923877
4440,348,74,33,445.39256488923877
4440,349,124,45,445.39256488923877
4440,350,77,31,445.39256488923877
4440,352,86,36,445.39256488923877
4440,353,89,37,445.39256488923877
4440,354,88,41,445.39256488923877
4440,355,96,42,445.39256488923877
4440,356,69,26,445.39256488923877
4440,357,111,37,445.39256488923877
4440,359,39,14,445.39256488923877
4440,360,77,32,445.39256488923877
4440,361,91,34,445.39256488923877
4440,362,76,27,445.39256488923877
4440,363,94,39,445.39256488923877
4440,364,93,40,445.39256488923877
4987,2,26,15,659.7899057050695
4987,3,72,41,659.7899057050695
4987,4,22,18,659.7899057050695
4987,5,45,32,659.7899057050695
4987,6,24,12,659.7899057050695
4987,7,57,29,659.7899057050695
4987,9,51,25,659.7899057050695
4987,10,58,31,659.7899057050695
4987,11,34,15,659.7899057050695
4987,12,45,18,659.7899057050695
4987,13,48,34,659.7899057050695
4987,14,24,17,659.7899057050695
4987,16,42,23,659.7899057050695
4987,17,62,40,659.7899057050695
4987,18,70,43,659.7899057050695
4987,19,75,38,659.7899057050695
4987,20,32,15,659.7899057050695
4987,21,27,13,659.7899057050695
4987,23,58,25,659.7899057050695
4987,24,82,42,659.7899057050695
4987,25,27,16,659.7899057050695
4987,26,26,18,659.7899057050695
4987,27,42,24,659.7899057050695
4987,28,53,26,659.7899057050695
4987,30,53,30,659.7899057050695
4987,31,79,37,659.7899057050695
4987,32,48,39,659.7899057050695
4987,33,37,34,659.7899057050695
4987,34,33,15,659.7899057050695
4987,35,40,28,659.7899057050695
4987,37,46,39,659.7899057050695
4987,38,39,25,659.7899057050695
4987,39,30,19,659.7899057050695
4987,40,33,12,659.7899057050695
4987,41,53,20,659.7899057050695
4987,42,66,41,659.7899057050695
4987,44,42,22,659.7899057050695
4987,45,108,54,659.7899057050695
4987,46,47,32,659.7899057050695
4987,47,25,11,659.7899057050695
4987,48,37,26,659.7899057050695
4987,49,78,48,659.7899057050695
4987,51,38,28,659.7899057050695
4987,52,71,41,659.7899057050695
4987,53,61,33,659.7899057050695
4987,54,41,30,659.7899057050695
4987,55,38,18,659.7899057050695
4987,56,66,39,659.7899057050695
4987,58,49,30,659.7899057050695
4987,59,73,37,659.7899057050695
4987,60,32,17,659.7899057050695
4987,61,18,11,659.7899057050695
4987,62,74,31,659.7899057050695
4987,63,32,26,659.7899057050695
4987,65,72,34,659.7899057050695
4987,66,29,14,659.7899057050695
4987,67,61,29,659.7899057050695
4987,68,46,29,659.7899057050695
4987,69,29,13,659.7899057050695
4987,70,45,26,659.7899057050695
4987,72,68,31,659.7899057050695
4987,73,33,26,659.7899057050695
4987,74,45,41,659.7899057050695
4987,75,52,23,659.7899057050695
4987,76,22,12,659.7899057050695
4987,77,16,8,659.7899057050695
4987,79,58,25,659.7899057050695
4987,80,29,20,659.7899057050695
4987,81,43,34,659.7899057050695
4987,82,26,21,659.7899057050695
4987,83,62,26,659.7899057050695
4987,84,20,7,659.7899057050695
4987,86,69,39,659.7899057050695
4987,87,34,32,659.7899057050695
4987,88,32,19,659.7899057050695
4987,89,38,16,659.7899057050695
4987,90,74,41,659.7899057050695
4987,91,25,14,659.7899057050695
4987,93,25,19,659.7899057050695
4987,94,44,39,659.7899057050695
4987,95,29,19,659.7899057050695
4987,96,43,25,659.7899057050695
4987,97,73,46,659.7899057050695
4987,98,79,55,659.7899057050695
4987,100,21,15,659.7899057050695
4987,101,71,41,659.7899057050695
4987,102,39,17,659.7899057050695
4987,103,40,36,659.7899057050695
4987,104,46,28,659.7899057050695
4987,105,49,22,659.7899057050695
4987,107,27,15,659.7899057050695
4987,108,5,9,659.7899057050695
4987,109,40,24,659.7899057050695
4987,110,35,24,659.7899057050695
4987,111,62,30,659.7899057050695
4987,112,39,29,659.7899057050695
4987,114,22,14,659.7899057050695
4987,115,13,11,659.7899057050695
4987,116,39,29,659.7899057050695
4987,117,73,42,659.7899057050695
4987,118,9,6,659.7899057050695
4987,119,35,14,659.7899057050695
4987,121,37,20,659.7899057050695
4987,122,23,13,659.7899057050695
4987,123,59,26,659.7899057050695
4987,124,43,37,659.7899057050695
4987,125,20,13,659.7899057050695
4987,126,55,27,659.7899057050695
4987,128,29,19,659.7899057050695
4987,129,51,31,659.7899057050695
4987,130,42,27,659.7899057050695
4987,131,26,14,659.7899057050695
4987,132,15,14,659.7899057050695
4987,133,32,14,659.7899057050695
4987,135,29,17,659.7899057050695
4987,136,59,39,659.7899057050695
4987,137,46,24,659.7899057050695
4987,138,18,4,659.7899057050695
4987,139,28,13,659.7899057050695
4987,140,48,34,659.7899057050695
4987,142,30,15,659.7899057050695
4987,143,41,23,659.7899057050695
4987,144,29,22,659.7899057050695
4987,145,62,40,659.7899057050695
4987,146,68,27,659.7899057050695
4987,147,66,31,659.7899057050695
4987,149,44,30,659.7899057050695
4987,150,56,40,659.7899057050695
4987,151,23,9,659.7899057050695
4987,152,32,26,659.7899057050695
4987,153,39,36,659.7899057050695
4987,154,48,24,659.7899057050695
4987,156,33,19,659.7899057050695
4987,157,72,30,659.7899057050695
4987,158,8,7,659.7899057050695
4987,159,58,37,659.7899057050695
4987,160,43,27,659.7899057050695
4987,161,21,11,659.7899057050695
4987,163,71,31,659.7899057050695
